,real_date,DOW,VIX,BTC,ETH,kospi,vkospi,gold,dol,DOW1,VIX1,BTC1,ETH1,kospi1,vkospi1,gold1,dol1,corona
88,2020-06-04,26281.82031,25.809999,9800.636719,244.426392,"2,151.18",25.69,"67,000","1,272.41",0.00045401681473479597,0.005828615798358787,0.014793539456466366,0.0010113308726641354,0.0019450098961731016,-0.001944391046188237,-0.011574546787939205,0.0028805762177935503,1
89,2020-06-03,26269.89063,25.66,9656.717773,244.179321,"2,147.00",25.74,"67,780","1,268.75",0.020274275762999762,-0.04495995291599066,0.013229694939032758,0.028918880552000068,0.0282528551754438,0.02917037729977971,-0.014355014335743203,-0.007866514627135703,1
90,2020-06-02,25742.65039,26.84,9529.803711,237.219055,"2,087.19",25.0,"68,760","1,278.77",0.010450818879183319,-0.05049193016191688,-0.0647494748270142,-0.04037097879830247,0.010649697138517421,0.002402884616310316,-0.0033393860433687857,-0.00041437490575605855,1
91,2020-06-01,25475.01953,28.23,10167.268555,246.99176,"2,065.08",24.94,"68,990","1,279.30",,,0.07198931640664956,0.0670424309287078,,,,,1
92,2020-05-31,,,9461.058594,230.975708,,,,,,,-0.024984292588116228,-0.04805224524216142,,,,,1
93,2020-05-30,,,9700.414063,242.345596,,,,,,,0.027305389827458726,0.09367319271107451,,,,,1
94,2020-05-29,25383.10938,27.51,9439.124023,220.675125,"2,029.60",25.64,"68,790","1,292.55",-0.0006904275754729787,-0.03850743139773717,-0.009135578956463934,0.0037895914111695517,0.0005224068287967804,0.015723594379456876,-0.0001453594013752024,-0.0013761753780015076,1
95,2020-05-28,25400.64063,28.59,9525.750977,219.840439,"2,028.54",25.24,"68,800","1,294.33",-0.005795190228919955,0.03451682214742698,0.0368607148685166,0.05122139338704628,-0.0013104289341935172,0.030982160218432177,0.009199159564604162,0.004770580199542234,1
96,2020-05-27,25548.26953,27.620001,9181.017578,208.863434,"2,031.20",24.47,"68,170","1,288.17",0.021889404657719946,-0.014021405085223732,0.03841097125152422,0.033896631132196244,0.0006993386117999468,0.027762296777151186,-0.016584610555199414,0.00016303525091139747,1
97,2020-05-26,24995.10938,28.01,8835.052734,201.902313,"2,029.78",23.8,"69,310","1,287.96",,,-0.008103064000579994,-0.016784528919334366,0.017483883810901213,-0.059932340722673845,-0.0012976715828654588,-0.00823489036395032,1
98,2020-05-25,,,8906.93457,205.319748,"1,994.60",25.27,"69,400","1,298.61",,,0.013173543280973143,0.014469095517231398,,,,,1
99,2020-05-24,,,8790.368164,202.370346,,,,,,,-0.04655584801993263,-0.030771551752053903,,,,,1
100,2020-05-23,,,9209.287109,208.694397,,,,,,,0.002904542944063601,0.007335168983069519,,,,,1
